"TIME","GEO","INDIC_IS","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2009","Czechia","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Czechia","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Czechia","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Czechia","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Czechia","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Czechia","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Czechia","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Denmark","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Denmark","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Denmark","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Denmark","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Denmark","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Denmark","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Denmark","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","5",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Germany (until 1990 former territory of the FRG)","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Estonia","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Estonia","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1","u"
"2009","Estonia","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1","u"
"2009","Estonia","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1","u"
"2009","Estonia","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1","u"
"2009","Estonia","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2","u"
"2009","Estonia","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2","u"
"2009","Ireland","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Ireland","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Ireland","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Ireland","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Ireland","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Ireland","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Ireland","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Greece","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Greece","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Greece","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Greece","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Greece","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Greece","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Greece","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Spain","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Spain","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Spain","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Spain","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Spain","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Spain","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Spain","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","France","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","France","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","5",""
"2009","France","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","France","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","France","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","France","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","France","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Croatia","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Croatia","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Croatia","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Croatia","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Croatia","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Croatia","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0",""
"2009","Croatia","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Italy","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Italy","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Italy","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Italy","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Italy","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Italy","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Italy","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Cyprus","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Cyprus","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Cyprus","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Cyprus","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Cyprus","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Cyprus","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Cyprus","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Latvia","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Latvia","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Latvia","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Latvia","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Latvia","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Latvia","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Latvia","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Lithuania","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Lithuania","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Lithuania","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Lithuania","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Lithuania","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Lithuania","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Lithuania","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Luxembourg","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Luxembourg","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Luxembourg","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Luxembourg","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Luxembourg","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Luxembourg","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Luxembourg","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Hungary","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Hungary","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Hungary","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Hungary","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Hungary","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Hungary","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Hungary","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Malta","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Malta","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","7",""
"2009","Malta","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","0","n"
"2009","Malta","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Malta","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Malta","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Malta","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Netherlands","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Netherlands","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","16",""
"2009","Netherlands","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","3",""
"2009","Netherlands","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","5",""
"2009","Netherlands","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Netherlands","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Netherlands","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Austria","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Austria","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Austria","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Austria","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Austria","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Austria","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Austria","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":","u"
"2009","Poland","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
"2009","Poland","Individuals who encountered the following problem when making purchases over the Internet: Speed of delivery longer than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","7",""
"2009","Poland","Individuals who encountered the following problem when making purchases over the Internet: Delivery costs or final price higher than indicated","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Poland","Individuals who encountered the following problem when buying/ordering over the Internet: wrong or damaged good/services delivered","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","4",""
"2009","Poland","Individuals who encountered the following problem when buying/ordering over the Internet: problems with fraud","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Poland","Individuals who encountered the following problem when making purchases over the Internet: Complaints and redress were difficult or no satisfactory response received after complaint","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","2",""
"2009","Poland","Individuals who encountered the following problem when making purchases over the Internet: Other","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year","1",""
"2009","Portugal","Individuals who encountered the following problem when making purchases over the Internet: Difficulties concerning guarantees","All Individuals","Percentage of individuals who ordered goods or services, over the internet, for private use, in the last year",":",""
