"TIME","INDIC_IS","GEO","IND_TYPE","UNIT","Value","Flag and Footnotes"
"2010","Last online purchase: in the last 3 months","Ireland","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Ireland","Males, 16 to 24 years old","Percentage of individuals","28",""
"2010","Last online purchase: in the last 3 months","Ireland","Females, 16 to 24 years old","Percentage of individuals","26",""
"2010","Last online purchase: in the last 3 months","Ireland","Males 25 to 54 years old","Percentage of individuals","34",""
"2010","Last online purchase: in the last 3 months","Ireland","Females 25 to 54 years old","Percentage of individuals","35",""
"2010","Last online purchase: in the last 3 months","Ireland","Males 55 to 74 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Ireland","Females 55 to 74 years old","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Greece","All Individuals","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Greece","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Greece","Individuals, 16 to 24 years old","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Greece","Individuals, 25 to 54 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Greece","Individuals, 55 to 74 years old","Percentage of individuals","2",""
"2010","Last online purchase: in the last 3 months","Greece","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Greece","Males, 16 to 24 years old","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Greece","Females, 16 to 24 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Greece","Males 25 to 54 years old","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Greece","Females 25 to 54 years old","Percentage of individuals","8",""
"2010","Last online purchase: in the last 3 months","Greece","Males 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Greece","Females 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Spain","All Individuals","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Spain","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Spain","Individuals, 16 to 24 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Spain","Individuals, 25 to 54 years old","Percentage of individuals","21",""
"2010","Last online purchase: in the last 3 months","Spain","Individuals, 55 to 74 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Spain","Individuals, 75 years old or more","Percentage of individuals","0","n"
"2010","Last online purchase: in the last 3 months","Spain","Males, 16 to 24 years old","Percentage of individuals","22",""
"2010","Last online purchase: in the last 3 months","Spain","Females, 16 to 24 years old","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Spain","Males 25 to 54 years old","Percentage of individuals","22",""
"2010","Last online purchase: in the last 3 months","Spain","Females 25 to 54 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Spain","Males 55 to 74 years old","Percentage of individuals","8",""
"2010","Last online purchase: in the last 3 months","Spain","Females 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","France","All Individuals","Percentage of individuals","40",""
"2010","Last online purchase: in the last 3 months","France","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","France","Individuals, 16 to 24 years old","Percentage of individuals","47",""
"2010","Last online purchase: in the last 3 months","France","Individuals, 25 to 54 years old","Percentage of individuals","50",""
"2010","Last online purchase: in the last 3 months","France","Individuals, 55 to 74 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","France","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","France","Males, 16 to 24 years old","Percentage of individuals","48",""
"2010","Last online purchase: in the last 3 months","France","Females, 16 to 24 years old","Percentage of individuals","46",""
"2010","Last online purchase: in the last 3 months","France","Males 25 to 54 years old","Percentage of individuals","52",""
"2010","Last online purchase: in the last 3 months","France","Females 25 to 54 years old","Percentage of individuals","48",""
"2010","Last online purchase: in the last 3 months","France","Males 55 to 74 years old","Percentage of individuals","25",""
"2010","Last online purchase: in the last 3 months","France","Females 55 to 74 years old","Percentage of individuals","15",""
"2010","Last online purchase: in the last 3 months","Croatia","All Individuals","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Croatia","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Croatia","Individuals, 16 to 24 years old","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Croatia","Individuals, 25 to 54 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Croatia","Individuals, 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Croatia","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Croatia","Males, 16 to 24 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Croatia","Females, 16 to 24 years old","Percentage of individuals","15",""
"2010","Last online purchase: in the last 3 months","Croatia","Males 25 to 54 years old","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Croatia","Females 25 to 54 years old","Percentage of individuals","10",""
"2010","Last online purchase: in the last 3 months","Croatia","Males 55 to 74 years old","Percentage of individuals","2",""
"2010","Last online purchase: in the last 3 months","Croatia","Females 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Italy","All Individuals","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Italy","Individuals, 15 years old or less","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Italy","Individuals, 16 to 24 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Italy","Individuals, 25 to 54 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Italy","Individuals, 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Italy","Individuals, 75 years old or more","Percentage of individuals","0","n"
"2010","Last online purchase: in the last 3 months","Italy","Males, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Italy","Females, 16 to 24 years old","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Italy","Males 25 to 54 years old","Percentage of individuals","16",""
"2010","Last online purchase: in the last 3 months","Italy","Females 25 to 54 years old","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Italy","Males 55 to 74 years old","Percentage of individuals","5",""
"2010","Last online purchase: in the last 3 months","Italy","Females 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Cyprus","All Individuals","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Cyprus","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Cyprus","Individuals, 16 to 24 years old","Percentage of individuals","22",""
"2010","Last online purchase: in the last 3 months","Cyprus","Individuals, 25 to 54 years old","Percentage of individuals","17",""
"2010","Last online purchase: in the last 3 months","Cyprus","Individuals, 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Cyprus","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Cyprus","Males, 16 to 24 years old","Percentage of individuals","25",""
"2010","Last online purchase: in the last 3 months","Cyprus","Females, 16 to 24 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Cyprus","Males 25 to 54 years old","Percentage of individuals","18",""
"2010","Last online purchase: in the last 3 months","Cyprus","Females 25 to 54 years old","Percentage of individuals","15",""
"2010","Last online purchase: in the last 3 months","Cyprus","Males 55 to 74 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Cyprus","Females 55 to 74 years old","Percentage of individuals","2",""
"2010","Last online purchase: in the last 3 months","Latvia","All Individuals","Percentage of individuals","8",""
"2010","Last online purchase: in the last 3 months","Latvia","Individuals, 15 years old or less","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Latvia","Individuals, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Latvia","Individuals, 25 to 54 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Latvia","Individuals, 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Latvia","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Latvia","Males, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Latvia","Females, 16 to 24 years old","Percentage of individuals","13",""
"2010","Last online purchase: in the last 3 months","Latvia","Males 25 to 54 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Latvia","Females 25 to 54 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Latvia","Males 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Latvia","Females 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Lithuania","All Individuals","Percentage of individuals","7",""
"2010","Last online purchase: in the last 3 months","Lithuania","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Lithuania","Individuals, 16 to 24 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Lithuania","Individuals, 25 to 54 years old","Percentage of individuals","8",""
"2010","Last online purchase: in the last 3 months","Lithuania","Individuals, 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Lithuania","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Lithuania","Males, 16 to 24 years old","Percentage of individuals","10",""
"2010","Last online purchase: in the last 3 months","Lithuania","Females, 16 to 24 years old","Percentage of individuals","13",""
"2010","Last online purchase: in the last 3 months","Lithuania","Males 25 to 54 years old","Percentage of individuals","7",""
"2010","Last online purchase: in the last 3 months","Lithuania","Females 25 to 54 years old","Percentage of individuals","8",""
"2010","Last online purchase: in the last 3 months","Lithuania","Males 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Lithuania","Females 55 to 74 years old","Percentage of individuals","1",""
"2010","Last online purchase: in the last 3 months","Luxembourg","All Individuals","Percentage of individuals","47",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Individuals, 16 to 24 years old","Percentage of individuals","33",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Individuals, 25 to 54 years old","Percentage of individuals","57",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Individuals, 55 to 74 years old","Percentage of individuals","29",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Males, 16 to 24 years old","Percentage of individuals","39",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Females, 16 to 24 years old","Percentage of individuals","28",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Males 25 to 54 years old","Percentage of individuals","61",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Females 25 to 54 years old","Percentage of individuals","52",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Males 55 to 74 years old","Percentage of individuals","33",""
"2010","Last online purchase: in the last 3 months","Luxembourg","Females 55 to 74 years old","Percentage of individuals","25",""
"2010","Last online purchase: in the last 3 months","Hungary","All Individuals","Percentage of individuals","10",""
"2010","Last online purchase: in the last 3 months","Hungary","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Hungary","Individuals, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Hungary","Individuals, 25 to 54 years old","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Hungary","Individuals, 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Hungary","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Hungary","Males, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Hungary","Females, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Hungary","Males 25 to 54 years old","Percentage of individuals","16",""
"2010","Last online purchase: in the last 3 months","Hungary","Females 25 to 54 years old","Percentage of individuals","13",""
"2010","Last online purchase: in the last 3 months","Hungary","Males 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Hungary","Females 55 to 74 years old","Percentage of individuals","2",""
"2010","Last online purchase: in the last 3 months","Malta","All Individuals","Percentage of individuals","32",""
"2010","Last online purchase: in the last 3 months","Malta","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Malta","Individuals, 16 to 24 years old","Percentage of individuals","59",""
"2010","Last online purchase: in the last 3 months","Malta","Individuals, 25 to 54 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","Malta","Individuals, 55 to 74 years old","Percentage of individuals","7",""
"2010","Last online purchase: in the last 3 months","Malta","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Malta","Males, 16 to 24 years old","Percentage of individuals","61",""
"2010","Last online purchase: in the last 3 months","Malta","Females, 16 to 24 years old","Percentage of individuals","57",""
"2010","Last online purchase: in the last 3 months","Malta","Males 25 to 54 years old","Percentage of individuals","42",""
"2010","Last online purchase: in the last 3 months","Malta","Females 25 to 54 years old","Percentage of individuals","31",""
"2010","Last online purchase: in the last 3 months","Malta","Males 55 to 74 years old","Percentage of individuals","7",""
"2010","Last online purchase: in the last 3 months","Malta","Females 55 to 74 years old","Percentage of individuals","6",""
"2010","Last online purchase: in the last 3 months","Netherlands","All Individuals","Percentage of individuals","52",""
"2010","Last online purchase: in the last 3 months","Netherlands","Individuals, 15 years old or less","Percentage of individuals","25",""
"2010","Last online purchase: in the last 3 months","Netherlands","Individuals, 16 to 24 years old","Percentage of individuals","53",""
"2010","Last online purchase: in the last 3 months","Netherlands","Individuals, 25 to 54 years old","Percentage of individuals","63",""
"2010","Last online purchase: in the last 3 months","Netherlands","Individuals, 55 to 74 years old","Percentage of individuals","31",""
"2010","Last online purchase: in the last 3 months","Netherlands","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Netherlands","Males, 16 to 24 years old","Percentage of individuals","55",""
"2010","Last online purchase: in the last 3 months","Netherlands","Females, 16 to 24 years old","Percentage of individuals","52",""
"2010","Last online purchase: in the last 3 months","Netherlands","Males 25 to 54 years old","Percentage of individuals","66",""
"2010","Last online purchase: in the last 3 months","Netherlands","Females 25 to 54 years old","Percentage of individuals","60",""
"2010","Last online purchase: in the last 3 months","Netherlands","Males 55 to 74 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","Netherlands","Females 55 to 74 years old","Percentage of individuals","26",""
"2010","Last online purchase: in the last 3 months","Austria","All Individuals","Percentage of individuals","32",""
"2010","Last online purchase: in the last 3 months","Austria","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Austria","Individuals, 16 to 24 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","Austria","Individuals, 25 to 54 years old","Percentage of individuals","39",""
"2010","Last online purchase: in the last 3 months","Austria","Individuals, 55 to 74 years old","Percentage of individuals","14",""
"2010","Last online purchase: in the last 3 months","Austria","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Austria","Males, 16 to 24 years old","Percentage of individuals","35",""
"2010","Last online purchase: in the last 3 months","Austria","Females, 16 to 24 years old","Percentage of individuals","37",""
"2010","Last online purchase: in the last 3 months","Austria","Males 25 to 54 years old","Percentage of individuals","42",""
"2010","Last online purchase: in the last 3 months","Austria","Females 25 to 54 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","Austria","Males 55 to 74 years old","Percentage of individuals","19",""
"2010","Last online purchase: in the last 3 months","Austria","Females 55 to 74 years old","Percentage of individuals","9",""
"2010","Last online purchase: in the last 3 months","Poland","All Individuals","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Poland","Individuals, 15 years old or less","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Poland","Individuals, 16 to 24 years old","Percentage of individuals","34",""
"2010","Last online purchase: in the last 3 months","Poland","Individuals, 25 to 54 years old","Percentage of individuals","25",""
"2010","Last online purchase: in the last 3 months","Poland","Individuals, 55 to 74 years old","Percentage of individuals","4",""
"2010","Last online purchase: in the last 3 months","Poland","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Poland","Males, 16 to 24 years old","Percentage of individuals","36",""
"2010","Last online purchase: in the last 3 months","Poland","Females, 16 to 24 years old","Percentage of individuals","31",""
"2010","Last online purchase: in the last 3 months","Poland","Males 25 to 54 years old","Percentage of individuals","26",""
"2010","Last online purchase: in the last 3 months","Poland","Females 25 to 54 years old","Percentage of individuals","24",""
"2010","Last online purchase: in the last 3 months","Poland","Males 55 to 74 years old","Percentage of individuals","6",""
"2010","Last online purchase: in the last 3 months","Poland","Females 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Portugal","All Individuals","Percentage of individuals","10",""
"2010","Last online purchase: in the last 3 months","Portugal","Individuals, 15 years old or less","Percentage of individuals","0",""
"2010","Last online purchase: in the last 3 months","Portugal","Individuals, 16 to 24 years old","Percentage of individuals","16",""
"2010","Last online purchase: in the last 3 months","Portugal","Individuals, 25 to 54 years old","Percentage of individuals","11",""
"2010","Last online purchase: in the last 3 months","Portugal","Individuals, 55 to 74 years old","Percentage of individuals","3",""
"2010","Last online purchase: in the last 3 months","Portugal","Individuals, 75 years old or more","Percentage of individuals",":",""
"2010","Last online purchase: in the last 3 months","Portugal","Males, 16 to 24 years old","Percentage of individuals","20",""
"2010","Last online purchase: in the last 3 months","Portugal","Females, 16 to 24 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Portugal","Males 25 to 54 years old","Percentage of individuals","12",""
"2010","Last online purchase: in the last 3 months","Portugal","Females 25 to 54 years old","Percentage of individuals","11",""
